Internal ID,ZAB Subscription,Line ID
1413208,164720,0
1413213,164720,0
1444837,164720,2
1492337,164720,0
1492876,164720,0
1492979,164720,0
1492979,164720,1
1492979,164720,2
1492979,164720,3
1492979,164720,4
1492979,164720,5
1492979,164720,6
1492979,164720,7
1492979,164720,8
1493091,164720,0
1493091,164720,1
1493091,164720,2
1493091,164720,3
1493091,164720,4
1493091,164720,5
1493091,164720,6
1493091,164720,7
1493091,164720,8
1518943,164720,0
1518943,164720,1
1518943,164720,2
1518944,164720,0
1518944,164720,1
1518944,164720,2
1518944,164720,3
1518944,164720,4
1518944,164720,5
1518944,164720,6
1518945,164720,0
1518945,164720,1
1518945,164720,2
1518945,164720,3
1518945,164720,4
1518945,164720,5
1518945,164720,6
1518946,164720,0
1518946,164720,1
1518946,164720,2
1518946,164720,3
1518946,164720,4
1518946,164720,5
1518946,164720,6
1518946,164720,7
1518946,164720,8
1518947,164720,0
1518947,164720,1
1518947,164720,2
1518947,164720,3
1518947,164720,4
1518947,164720,5
1518947,164720,6
1518947,164720,7
1518947,164720,8
1518947,164720,9
1518948,164720,0
1518948,164720,1
1518948,164720,2
1518948,164720,3
1518948,164720,4
1518948,164720,5
1518948,164720,6
1518949,164720,0
1518949,164720,1
1518949,164720,2
1518949,164720,3
1518949,164720,4
1518949,164720,5
1518949,164720,6
1518949,164720,7
1518950,164720,0
1518950,164720,1
1518950,164720,2
1518950,164720,3
1518950,164720,4
1518950,164720,5
1518950,164720,6
1518951,164720,0
1518951,164720,1
1518951,164720,2
1518951,164720,3
1518951,164720,4
1518951,164720,5
1518951,164720,6
1518952,164720,0
1518952,164720,1
1518952,164720,2
1518952,164720,3
1518952,164720,4
1518952,164720,5
1518953,164720,0
1518953,164720,1
1518953,164720,2
1518953,164720,3
1518953,164720,4
1518953,164720,5
1518954,164720,0
1518954,164720,1
1518954,164720,2
1518954,164720,3
1518954,164720,4
1518954,164720,5
1518954,164720,6
1518954,164720,7
1518954,164720,8
1518954,164720,9
1518955,164720,0
1518955,164720,1
1518955,164720,2
1518956,164720,0
1518957,164720,0
1518957,164720,1
1518957,164720,2
1518957,164720,3
1518957,164720,4
1518957,164720,5
1518957,164720,6
1518958,164720,0
1518958,164720,1
1518958,164720,2
1518958,164720,3
1518958,164720,4
1518958,164720,5
1518959,164720,0
1518959,164720,1
1518959,164720,2
1518960,164720,0
1518960,164720,1
1518961,164720,0
1518961,164720,1
1518962,164720,0
1518962,164720,1
1518962,164720,2
1518962,164720,3
1518962,164720,4
1518962,164720,5
1518962,164720,6
1518962,164720,7
1518963,164720,0
1518963,164720,1
1518963,164720,2
1518963,164720,3
1518963,164720,4
1518963,164720,5
1518963,164720,6
1518964,164720,0
1518964,164720,1
1518964,164720,2
1518964,164720,3
1518964,164720,4
1518964,164720,5
1518965,164720,0
1518965,164720,1
1518966,164720,0
1518967,164720,0
1518967,164720,1
1518967,164720,2
1518967,164720,3
1518967,164720,4
1518967,164720,5
1518968,164720,0
1518968,164720,1
1518969,164720,0
1518969,164720,1
1518969,164720,2
1518969,164720,3
1518969,164720,4
1518970,164720,0
1518970,164720,1
1518970,164720,2
1518970,164720,3
1518970,164720,4
1518970,164720,5
1518971,164720,0
1518971,164720,1
1518971,164720,2
1518972,164720,0
1518972,164720,1
1518972,164720,2
1518973,164720,0
1518973,164720,1
1518973,164720,2
1518974,164720,0
1518974,164720,1
1518975,164720,0
1518975,164720,1
1518975,164720,2
1518976,164720,0
1518976,164720,1
1518976,164720,2
1518976,164720,3
1518976,164720,4
1518976,164720,5
1518976,164720,6
1518976,164720,7
1518976,164720,8
1518976,164720,9
1518977,164720,0
1518977,164720,1
1518977,164720,2
1518977,164720,3
1518977,164720,4
1518977,164720,5
1518977,164720,6
1518977,164720,7
1518977,164720,8
1518977,164720,9
1518978,164720,0
1518978,164720,1
1518978,164720,2
1518978,164720,3
1518978,164720,4
1518978,164720,5
1518978,164720,6
1518978,164720,7
1518979,164720,0
1518979,164720,1
1518979,164720,2
1518979,164720,3
1518979,164720,4
1518979,164720,5
1518979,164720,6
1518979,164720,7
1518980,164720,0
1518980,164720,1
1518980,164720,2
1518980,164720,3
1518980,164720,4
1518980,164720,5
1518980,164720,6
1518981,164720,0
1518981,164720,1
1518981,164720,2
1518981,164720,3
1518981,164720,4
1518981,164720,5
1518981,164720,6
1518981,164720,7
1518982,164720,0
1518982,164720,1
1518983,164720,0
1518983,164720,1
1518983,164720,2
1518984,164720,0
1518985,164720,0
1518985,164720,1
1518985,164720,2
1518986,164720,0
1518986,164720,1
1518987,164720,0
1518987,164720,1
1518987,164720,2
1518987,164720,3
1518987,164720,4
1518987,164720,5
1518987,164720,6
1518987,164720,7
1518987,164720,8
1518988,164720,0
1518988,164720,1
1518988,164720,2
1519974,164720,0
1519974,164720,1
1519974,164720,2
1519974,164720,3
1519974,164720,4
1519974,164720,5
1519974,164720,6
1519974,164720,7
1519974,164720,9
1519974,164720,10
1521087,164720,0
1521087,164720,1
1521087,164720,2
1521087,164720,3
1521087,164720,4
1521087,164720,5
1521087,164720,6
1521087,164720,7
1521087,164720,8
1521087,164720,9
1521087,164720,10
1521087,164720,11
1526957,164720,0
1526957,164720,1
1526957,164720,2
1526957,164720,3
1526957,164720,4
1526957,164720,5
1526957,164720,6
1526957,164720,7
1526957,164720,8
1568977,164720,0
1580447,164720,0
1580548,164720,0
1581449,164720,0
1581449,164720,1
1581449,164720,2
1581449,164720,3
1581449,164720,4
1581449,164720,5
1581449,164720,6
1581449,164720,7
1581449,164720,8
1584194,164720,0
1584897,164720,0
1584897,164720,1
1584897,164720,2
1584897,164720,3
1584897,164720,4
1584897,164720,5
1584897,164720,6
1584897,164720,7
1589578,164720,0
1600896,164720,0
1600896,164720,1
1600896,164720,2
1600896,164720,3
1600896,164720,4
1600896,164720,5
1600896,164720,6
1600896,164720,7
1600896,164720,8
1600897,164720,0
1600898,164720,0
1600898,164720,1
1600898,164720,2
1600898,164720,3
1600898,164720,4
1600898,164720,5
1600898,164720,6
1600898,164720,7
1600898,164720,8
1608629,164720,0
1628982,164720,0
1628982,164720,1
1628982,164720,2
1628982,164720,3
1628982,164720,4
1628982,164720,5
1628982,164720,6
1628982,164720,7
1629083,164720,0
1629083,164720,1
1629083,164720,2
1629083,164720,3
1629083,164720,4
1629083,164720,5
1629083,164720,6
1629083,164720,7
1629083,164720,14
1637156,164720,0
1637156,164720,1
1637156,164720,2
1637156,164720,3
1637156,164720,4
1637156,164720,5
1637156,164720,6
1637156,164720,7
1637156,164720,8
1637156,164720,9
1637156,164720,10
1637157,164720,0
1637157,164720,1
1637157,164720,2
1637157,164720,3
1637157,164720,4
1637157,164720,5
1637157,164720,6
1637157,164720,7
1637157,164720,8
1637157,164720,9
1637157,164720,10
1637158,164720,0
1637158,164720,1
1637158,164720,2
1637158,164720,3
1637158,164720,4
1637158,164720,5
1637158,164720,6
1637158,164720,7
1637158,164720,8
1637158,164720,9
1637158,164720,10
1637159,164720,0
1637159,164720,1
1637159,164720,2
1637159,164720,3
1637159,164720,4
1637159,164720,5
1637159,164720,6
1637159,164720,7
1637159,164720,8
1637159,164720,9
1637159,164720,10
1637160,164720,0
1637160,164720,1
1637160,164720,2
1637160,164720,3
1637160,164720,4
1637160,164720,5
1637160,164720,6
1637160,164720,7
1637160,164720,8
1637161,164720,0
1637161,164720,1
1637161,164720,2
1637161,164720,3
1637161,164720,4
1637161,164720,5
1637161,164720,6
1637161,164720,7
1637161,164720,8
1637161,164720,9
1637161,164720,10
1637162,164720,0
1637162,164720,1
1637162,164720,2
1637162,164720,3
1637162,164720,4
1637162,164720,5
1637162,164720,6
1637162,164720,7
1637162,164720,8
1637163,164720,0
1637163,164720,1
1637163,164720,2
1637163,164720,3
1637163,164720,4
1637163,164720,5
1637163,164720,6
1637164,164720,0
1637164,164720,1
1637164,164720,2
1637164,164720,3
1637164,164720,4
1637164,164720,5
1637164,164720,6
1637164,164720,7
1637164,164720,8
1637164,164720,9
1637164,164720,10
1637165,164720,0
1637165,164720,1
1637165,164720,2
1637165,164720,3
1637165,164720,4
1637165,164720,5
1637165,164720,6
1637165,164720,7
1637165,164720,8
1637166,164720,0
1637166,164720,1
1637166,164720,2
1637166,164720,3
1637166,164720,4
1637166,164720,5
1637166,164720,6
1637166,164720,7
1637167,164720,0
1637167,164720,1
1637167,164720,2
1637167,164720,3
1637167,164720,4
1637167,164720,5
1637167,164720,6
1637167,164720,7
1637167,164720,8
1637168,164720,0
1637168,164720,1
1637168,164720,2
1637168,164720,3
1637168,164720,4
1637168,164720,5
1637168,164720,6
1637169,164720,0
1637169,164720,1
1637169,164720,2
1637169,164720,3
1637169,164720,4
1637169,164720,5
1637169,164720,6
