Internal ID,Subscription ID,Line ID
2393213,173221,0
2394016,173221,0
2395733,173221,0
2527010,173221,0
2527010,173219,1
2527010,173218,2
2527010,173221,3
2527010,173218,4
2527010,173219,5
2527010,173218,6
2527010,173220,7
2527010,173221,8
2527010,173218,9
2527010,173221,10
2527010,173220,11
