Internal ID,ZAB Subscription,LineID
1837093,164720,0
1858433,164720,0
1858534,164720,0
1903477,164720,0
1903477,164720,1
1903477,164720,2
1903477,164720,3
1903477,164720,4
1903477,164720,5
1903477,164720,6
1903477,164720,7
1914288,164720,0
1914288,164720,1
1914288,164720,2
1914288,164720,3
1914288,164720,4
1914288,164720,5
1914288,164720,6
1914288,164720,7
1914288,164720,8
1927832,164720,0
1931977,164720,0
1931977,164720,1
1931977,164720,2
1931977,164720,3
1931977,164720,4
1931977,164720,5
1931977,164720,6
1931977,164720,7
1931977,164720,8
1931977,164720,9
1931977,164720,10
1931977,164720,11
1931977,164720,12
1931977,164720,13
1931977,164720,14
1980927,164720,0
1980927,164720,1
1980927,164720,2
1980927,164720,3
1980927,164720,4
1980927,164720,5
1980927,164720,6
1980927,164720,7
1980927,164720,8
1980927,164720,9
1982235,164720,0
1982836,164720,0
1982836,164720,1
1982836,164720,2
1982836,164720,3
1982836,164720,4
1982836,164720,5
1982836,164720,6
1982836,164720,7
1982836,164720,8
1982836,164720,9
1982836,164720,10
1982836,164720,11
1982836,164720,12
1982836,164720,13
1982836,164720,14
1983239,164720,0
1983239,164720,1
1983239,164720,2
1983239,164720,3
1983239,164720,4
1983239,164720,5
1983239,164720,6
1983239,164720,7
1983239,164720,8
1983239,164720,9
1983239,164720,10
1983239,164720,11
1983239,164720,12
1983239,164720,13
1983239,164720,14
1983239,164720,15
1983239,164720,16
1983239,164720,17
1995760,164720,0
1995760,164720,1
1995760,164720,2
1995760,164720,3
1995760,164720,4
1995760,164720,5
1995760,164720,6
1995760,164720,7
1995760,164720,8
1995760,164720,9
1995760,164720,10
1995760,164720,11
1995760,164720,12
1995760,164720,13
1995760,164720,14
1995760,164720,15
1999984,164720,0
1999985,164720,0
1999986,164720,0
1999987,164720,0
1999988,164720,0
1999989,164720,0
1999990,164720,0
1999991,164720,0
1999992,164720,0
1999993,164720,0
1999994,164720,0
1999995,164720,0
1999996,164720,0
1999997,164720,0
1999998,164720,0
1999999,164720,0
2000000,164720,0
2000001,164720,0
2000002,164720,0
2000003,164720,0
2000004,164720,0
2000005,164720,0
2000006,164720,0
2000007,164720,0
2000008,164720,0
2000009,164720,0
2000010,164720,0
2000011,164720,0
2000012,164720,0
2000013,164720,0
2000014,164720,0
2000015,164720,0
2000016,164720,0
2000017,164720,0
2000018,164720,0
2000019,164720,0
2000020,164720,0
2000021,164720,0
2000022,164720,0
2000023,164720,0
2000024,164720,0
2000025,164720,0
2000026,164720,0
2000027,164720,0
2000028,164720,0
2000029,164720,0
2000030,164720,0
2000031,164720,0
2000032,164720,0
2000033,164720,0
2000034,164720,0
2000035,164720,0
2000036,164720,0
2000037,164720,0
2000038,164720,0
2000039,164720,0
2000040,164720,0
2000041,164720,0
2000042,164720,0
2000043,164720,0
2000044,164720,0
2000045,164720,0
2000046,164720,0
2000047,164720,0
2000048,164720,0
2000049,164720,0
2000050,164720,0
2000051,164720,0
2000052,164720,0
2000053,164720,0
2000054,164720,0
2000055,164720,0
2000056,164720,0
2000057,164720,0
2000058,164720,0
2000059,164720,0
2000060,164720,0
2000061,164720,0
2000062,164720,0
2000063,164720,0
2000064,164720,0
2029707,164720,0
2029710,164720,0
2044250,164720,0
2044250,164720,1
2044250,164720,2
2044250,164720,3
2044250,164720,4
2044250,164720,5
2044250,164720,6
2044250,164720,7
2044250,164720,8
2072131,164720,0
2080159,164720,0
2080159,164720,1
2080159,164720,2
2080159,164720,3
2080159,164720,4
2080159,164720,5
2080159,164720,6
2080159,164720,7
2080159,164720,8
2080159,164720,9
2080159,164720,10
2080159,164720,11
2080159,164720,12
2080159,164720,13
2119362,164720,0
2119363,164720,0
2123171,164720,0
2123171,164720,1
2123171,164720,2
2123171,164720,3
2123171,164720,4
2123171,164720,5
2123171,164720,6
2123171,164720,7
2123171,164720,8
2123171,164720,9
2123171,164720,10
2123172,164720,0
2123172,164720,1
2123172,164720,2
2123172,164720,3
2123172,164720,4
2123172,164720,5
2123172,164720,6
2123172,164720,7
2123172,164720,8
2123172,164720,9
2123172,164720,10
2123173,164720,0
2123173,164720,1
2123173,164720,2
2123173,164720,3
2123173,164720,4
2123173,164720,5
2123173,164720,6
2123173,164720,7
2123174,164720,0
2123174,164720,1
2123174,164720,2
2123174,164720,3
2123174,164720,4
2123174,164720,5
2123174,164720,6
2123174,164720,7
2123174,164720,8
2123174,164720,9
2123174,164720,10
2123175,164720,0
2123175,164720,1
2123175,164720,2
2123175,164720,3
2123175,164720,4
2123175,164720,5
2123175,164720,6
2123175,164720,7
2123175,164720,8
2123176,164720,0
2123176,164720,1
2123176,164720,2
2123176,164720,3
2123176,164720,4
2123176,164720,5
2123176,164720,6
2123176,164720,7
2123176,164720,8
2123176,164720,9
2123176,164720,10
2123177,164720,0
2123177,164720,1
2123177,164720,2
2123177,164720,3
2123177,164720,4
2123177,164720,5
2123177,164720,6
2123177,164720,7
2123178,164720,0
2123178,164720,1
2123178,164720,2
2123178,164720,3
2123178,164720,4
2123178,164720,5
2123178,164720,6
2123179,164720,0
2123179,164720,1
2123179,164720,2
2123179,164720,3
2123179,164720,4
2123179,164720,5
2123179,164720,6
2123179,164720,7
2123179,164720,8
2123179,164720,9
2123179,164720,10
2123180,164720,0
2123180,164720,1
2123180,164720,2
2123180,164720,3
2123180,164720,4
2123180,164720,5
2123180,164720,6
2123180,164720,7
2123180,164720,8
2123180,164720,9
2123181,164720,0
2123181,164720,1
2123181,164720,2
2123181,164720,3
2123181,164720,4
2123181,164720,5
2123181,164720,6
2123181,164720,7
2123181,164720,8
2123182,164720,0
2123182,164720,1
2123182,164720,2
2123182,164720,3
2123182,164720,4
2123182,164720,5
2123182,164720,6
2123182,164720,7
2123182,164720,8
2123182,164720,9
2123183,164720,0
2123183,164720,1
2123183,164720,2
2123183,164720,3
2123183,164720,4
2123183,164720,5
2123183,164720,6
2123183,164720,7
2123183,164720,8
2123183,164720,9
2123184,164720,0
2123184,164720,1
2123184,164720,2
2123184,164720,3
2123184,164720,4
2123184,164720,5
2123184,164720,6
2123184,164720,7
2123184,164720,8
2123184,164720,9
2123185,164720,0
2123185,164720,1
2123185,164720,2
2123185,164720,3
2123185,164720,4
2123185,164720,5
2123185,164720,6
2123185,164720,7
2123185,164720,8
2123185,164720,9
2123186,164720,0
2123186,164720,1
2123186,164720,2
2123186,164720,3
2123186,164720,4
2123186,164720,5
2123186,164720,6
2123186,164720,7
2123186,164720,8
2123186,164720,9
2123187,164720,0
2123187,164720,1
2123187,164720,2
2123187,164720,3
2123187,164720,4
2123187,164720,5
2123187,164720,6
2123187,164720,7
2123187,164720,8
2123187,164720,9
2123188,164720,0
2123188,164720,1
2123188,164720,2
2123188,164720,3
2123188,164720,4
2123188,164720,5
2123188,164720,6
2123188,164720,7
2123188,164720,8
2123188,164720,9
2123189,164720,0
2123189,164720,1
2123189,164720,2
2123189,164720,3
2123189,164720,4
2123189,164720,5
2123189,164720,6
2123189,164720,7
2123189,164720,8
2123189,164720,9
2123190,164720,0
