Internal ID,Subscription ID,Line ID
1717411,173218,0
1719230,173218,0
1725509,173218,0
1725510,173218,0
1730032,173218,0
1730032,173218,1
1730032,173218,2
1730032,173218,3
1730032,173218,4
1730032,173218,5
1730032,173218,6
1730032,173218,7
1730032,173218,8
1730032,173218,9
1730032,173218,10
1730032,173218,11
1730032,173218,12
1730033,173218,0
1730033,173218,1
1730033,173218,2
1730033,173218,3
1730033,173218,4
1730033,173218,5
1730033,173218,6
1730033,173218,7
1730033,173218,8
1730033,173218,9
1730033,173218,10
1730033,173218,11
1730033,173218,12
1730033,173218,13
1730033,173218,14
1730033,173218,15
1730033,173218,16
1730033,173218,17
1730033,173218,18
1730033,173218,19
1741762,173218,0
1741762,173218,1
1741762,173218,2
1741762,173218,3
1741762,173218,4
1741762,173218,5
1741762,173218,6
1741762,173218,7
1745592,173218,0
1749301,173218,0
1749301,173218,1
1749301,173218,2
1749301,173218,3
1749301,173218,4
1749301,173218,5
1749301,173218,6
1749301,173218,7
1749301,173218,8
1749301,173218,9
1772665,173218,0
1772666,173218,0
1772667,173218,0
1772668,173218,0
1772669,173218,0
1772670,173218,0
1772671,173218,0
1772672,173218,0
1772673,173218,0
1772674,173218,0
1772675,173218,0
1772676,173218,0
1772677,173218,0
1772678,173218,0
1772679,173218,0
1772680,173218,0
1772681,173218,0
1772682,173218,0
1772683,173218,0
1772684,173218,0
1772685,173218,0
1772686,173218,0
1772687,173218,0
1772688,173218,0
1772689,173218,0
1772690,173218,0
1772691,173218,0
1772692,173218,0
1772693,173218,0
1772694,173218,0
1772695,173218,0
1772696,173218,0
1772697,173218,0
1772698,173218,0
1772699,173218,0
1772700,173218,0
